id,entity_id,value,unit
320,320,0.054048,"kg CO2e/RM, purchaser price"
321,321,0.054048,"kg CO2e/RM, purchaser price"
322,322,0.058571,"kg CO2e/RM, purchaser price"
323,323,0.057143,"kg CO2e/RM, purchaser price"
324,324,0.057143,"kg CO2e/RM, purchaser price"
325,325,0.057143,"kg CO2e/RM, purchaser price"
326,326,0.058571,"kg CO2e/RM, purchaser price"
327,327,0.04119,"kg CO2e/RM, purchaser price"
328,328,0.04119,"kg CO2e/RM, purchaser price"
329,329,0.037143,"kg CO2e/RM, purchaser price"
330,330,0.033333,"kg CO2e/RM, purchaser price"
331,331,0.041429,"kg CO2e/RM, purchaser price"
332,332,0.032857,"kg CO2e/RM, purchaser price"
333,333,0.027857,"kg CO2e/RM, purchaser price"
334,334,0.025714,"kg CO2e/RM, purchaser price"
335,335,0.039762,"kg CO2e/RM, purchaser price"
336,336,0.034762,"kg CO2e/RM, purchaser price"
337,337,0.063095,"kg CO2e/RM, purchaser price"
338,338,0.059524,"kg CO2e/RM, purchaser price"
339,339,0.043333,"kg CO2e/RM, purchaser price"
340,340,0.043333,"kg CO2e/RM, purchaser price"
341,341,0.043333,"kg CO2e/RM, purchaser price"
342,342,0.043333,"kg CO2e/RM, purchaser price"
343,343,0.043333,"kg CO2e/RM, purchaser price"
344,344,0.017381,"kg CO2e/RM, purchaser price"
345,345,0.017381,"kg CO2e/RM, purchaser price"
346,346,0.017381,"kg CO2e/RM, purchaser price"
347,347,0.017381,"kg CO2e/RM, purchaser price"
348,348,0.026429,"kg CO2e/RM, purchaser price"
349,349,0.026429,"kg CO2e/RM, purchaser price"
350,350,0.026429,"kg CO2e/RM, purchaser price"
351,351,0.026429,"kg CO2e/RM, purchaser price"
352,352,0.026429,"kg CO2e/RM, purchaser price"
353,353,0.026429,"kg CO2e/RM, purchaser price"
354,354,0.020714,"kg CO2e/RM, purchaser price"
355,355,0.020714,"kg CO2e/RM, purchaser price"
356,356,0.020714,"kg CO2e/RM, purchaser price"
357,357,0.020714,"kg CO2e/RM, purchaser price"
358,358,0.020714,"kg CO2e/RM, purchaser price"
359,359,0.020714,"kg CO2e/RM, purchaser price"
360,360,0.044286,"kg CO2e/RM, purchaser price"
361,361,0.044286,"kg CO2e/RM, purchaser price"
362,362,0.044286,"kg CO2e/RM, purchaser price"
363,363,0.044286,"kg CO2e/RM, purchaser price"
364,364,0.044286,"kg CO2e/RM, purchaser price"
365,365,0.044286,"kg CO2e/RM, purchaser price"
366,366,0.044286,"kg CO2e/RM, purchaser price"
367,367,0.044286,"kg CO2e/RM, purchaser price"
368,368,0.044286,"kg CO2e/RM, purchaser price"
369,369,0.030952,"kg CO2e/RM, purchaser price"
370,370,0.030952,"kg CO2e/RM, purchaser price"
371,371,0.030952,"kg CO2e/RM, purchaser price"
372,372,0.030952,"kg CO2e/RM, purchaser price"
373,373,0.030952,"kg CO2e/RM, purchaser price"
374,374,0.043571,"kg CO2e/RM, purchaser price"
375,375,0.032857,"kg CO2e/RM, purchaser price"
376,376,0.032857,"kg CO2e/RM, purchaser price"
377,377,0.032857,"kg CO2e/RM, purchaser price"
378,378,0.032857,"kg CO2e/RM, purchaser price"
379,379,0.032857,"kg CO2e/RM, purchaser price"
380,380,0.032857,"kg CO2e/RM, purchaser price"
381,381,0.032857,"kg CO2e/RM, purchaser price"
382,382,0.032857,"kg CO2e/RM, purchaser price"
383,383,0.032857,"kg CO2e/RM, purchaser price"
384,384,0.026429,"kg CO2e/RM, purchaser price"
385,385,0.026429,"kg CO2e/RM, purchaser price"
386,386,0.026429,"kg CO2e/RM, purchaser price"
387,387,0.026429,"kg CO2e/RM, purchaser price"
388,388,0.026429,"kg CO2e/RM, purchaser price"
389,389,0.026429,"kg CO2e/RM, purchaser price"
390,390,0.039048,"kg CO2e/RM, purchaser price"
391,391,0.039048,"kg CO2e/RM, purchaser price"
392,392,0.039048,"kg CO2e/RM, purchaser price"
393,393,0.026429,"kg CO2e/RM, purchaser price"
394,394,0.026429,"kg CO2e/RM, purchaser price"
395,395,0.026429,"kg CO2e/RM, purchaser price"
396,396,0.026429,"kg CO2e/RM, purchaser price"
397,397,0.026429,"kg CO2e/RM, purchaser price"
