stop_id,stop_code,stop_name,stop_lat,stop_lon
12000641,KL1134,KOMERSIAL TELAWI (SELATAN),3.13229500,101.67251400
12000642,KL1135,KOMERSIAL TELAWI (UTARA),3.13408300,101.67247200
12000644,KL1136,BSC (UTARA),3.14238300,101.66796700
12000645,KL1162,DC MALL,3.14605600,101.66062800
12000646,PJ722,SMK DAMANSARA UTAMA,3.13743100,101.62445800
12000647,KL2337,DESA SRI HARTAMAS (2),3.16196231,101.64826090
12000648,KL2338,PLAZA CRYSTELVILLE,3.16307900,101.65139700
12000649,KL1485,PLAZA PRISMA VILLE,3.16117800,101.64965800
12000651,PJ819,POS DAMANSARA JAYA,3.12772200,101.61581900
12000652,KL1905,TEKNOLOGI PENDIDIKAN (TIMUR),3.14636434,101.64786700
12000653,PJ489,ATRIA,3.12663300,101.61748100
12000654,PJ510,KDU,3.12690600,101.62245300
12000655,KL1171,PLAZA DAMANSARA (TIMUR),3.15071243,101.65321760
12000656,KL1906,MASJID SAIDINA UMAR (TIMUR),3.14955470,101.65640090
12000657,PJ631,JEJANTAS LDP SS 20 SELATAN,3.13482000,101.62494400
12000658,KL1077,(M3) KL SENTRAL,3.13489200,101.68575600
12000659,KL2340,MRT SEMANTAN PINTU A,3.15083600,101.66518600
12000661,KL1071,TUGU NEGARA,3.14965300,101.68615600
12000662,KL1072,MENARA BANK RAKYAT (TIMUR),3.15077200,101.69143300
12000665,KL39,MENARA DBKL 2,3.15361780,101.69445710
12000667,KL1073,(M1) TAMAN TASIK PERDANA,3.14869400,101.68548900
12000668,PJ795,DATARAN SUNWAY TIMUR,3.15175300,101.59563300
12000669,PJ797,PANGSAPURI DEDAP BLOK 10,3.15817800,101.59509700
12000670,KL1174,(M1) MRT SEMANTAN PINTU B,3.15159200,101.66561100
12000671,PJ798,PANGSAPURI DEDAP BLOK 1,3.15784400,101.59135300
12000672,KL1021,MATRADE,3.17543900,101.66729700
12000673,KL1895,KOMPLEKS MAHKAMAH KUALA LUMPUR,3.17610600,101.67142200
12000674,KL1026,WISMA HASIL,3.17345300,101.67288600
12000675,KL1507,HIGH COMMISSION OF INDIA (OLD),3.15833074,101.67129380
12000676,PJ375,PERDANA SHOPPING CENTRE,3.16754000,101.60643100
12000677,PJ817,PERDANA EXCLUSIVE CONDO,3.16938300,101.60533600
12000678,PJ377,METROPOLITAN SQUARE,3.16605800,101.60797940
12000679,PJ380,NEO DAMANSARA,3.16418100,101.61165600
12000681,PJ381,(M1) TESCO MUTIARA DAMANSARA,3.16035800,101.61223600
12000682,PJ822,OASIS BANDAR UTAMA,3.15029800,101.61013800
12000684,PJ532,1 UTAMA - LDP,3.15043400,101.61652420
12000685,PJ789,D'SHIRE VILLA,3.15230700,101.58457700
12000686,PJ359,SMK SEK 4 KD,3.15220900,101.58193600
12000687,PJ362,(M1) APT SEMARAK BLOCK 3,3.15394000,101.57991100
12000689,PJ354,JEJANTAS APT SEROJA,3.15355500,101.57777000
12000690,PJ660,PERSIMPANGAN SEPAH PUTERI 5/2,3.15624700,101.58305300
12000691,PJ92,APT SIANTAN (TIMUR),3.15636800,101.58528600
12000692,PJ534,IKEA (TIMUR),3.15553050,101.61235370
12000693,PJ90,APT CARMILA (UTARA),3.15953400,101.58696600
12000694,PJ812,(M1) PJ TRADE CENTRE,3.16848800,101.61295200
12000695,PJ790,SEK RENDAH AGAMA SEKSYEN 5,3.16077200,101.58766300
12000696,PJ813,EMPIRE DAMANSARA,3.16601100,101.61177500
12000697,PJ665,MASJID KOTA DAMANSARA,3.16158400,101.58686400
12000698,PJ89,APT CARLINA (SELATAN),3.15822800,101.58719900
12000699,PJ91,APT SIANTAN (BARAT),3.15611200,101.58501300
12000700,PJ666,KOMERSIAL SEPAH PUTERI 5/1B,3.15610500,101.58315400
12000703,SL553,SMK SIERRAMAS (Opp),3.21447200,101.57856700
12000705,PJ350,BESTARI DE KOTA (SELATAN),3.16377200,101.57399500
12000706,PJ351,BESTARI DE KOTA (TIMUR),3.16502200,101.57558000
